4F7S-A,CDK8,yes,active
2HZI-A,ABL1,yes,active
3HMI-A,ABL2,yes,active
3MY0-N,ACVRL1,yes,active
3CQU-A,AKT1,yes,active
1O6L-A,AKT2,yes,active
3V5W-A,ADRBK1,yes,active
4CFF-A,PRKAA2,yes,active
